system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.00034455026616342366,2.346212750126142e-05,7.302047742996365e-05
reaction_diffusion,2,2.5800227376748808e-05,1.0195088179898448e-05,6.878936983412132e-05
reaction_diffusion,3,2.0606954421964474e-05,1.2925538612762466e-05,6.367980677168816e-05
reaction_diffusion,4,2.658228186191991e-05,1.737245656840969e-05,5.6724231399130076e-05
reaction_diffusion,5,3.1731346098240465e-05,2.1007424948038533e-05,5.928919927100651e-05
reaction_diffusion,6,4.007316965726204e-05,2.6958532544085756e-05,5.269951725495048e-05
reaction_diffusion,7,4.609513052855618e-05,3.1388801289722323e-05,4.71987332275603e-05
reaction_diffusion,8,4.6837289119139314e-05,3.225614636903629e-05,4.198198075755499e-05
reaction_diffusion,9,5.736438833991997e-05,3.9643782656639814e-05,3.731873584911227e-05
reaction_diffusion,10,6.267742719501257e-05,4.353019539848901e-05,3.6089561035623774e-05
reaction_diffusion,11,6.189189298311248e-05,4.287277624825947e-05,3.758886668947525e-05
reaction_diffusion,12,7.084345270413905e-05,4.9528251111041754e-05,3.2816602470120415e-05
reaction_diffusion,13,7.18330338713713e-05,5.011152461520396e-05,2.895922261814121e-05
reaction_diffusion,14,6.667062552878633e-05,4.699385681306012e-05,2.4921293515944853e-05
reaction_diffusion,15,7.018431642791256e-05,4.914185410598293e-05,2.1199623006395996e-05
reaction_diffusion,16,7.813813863322139e-05,5.474391218740493e-05,2.1900870706303976e-05
